date,index
2015. 01,99.77
2015. 02,99.71
2015. 03,99.72
2015. 04,99.75
2015. 05,100.03
2015. 06,100.05
2015. 07,100.23
2015. 08,100.37
2015. 09,100.11
2015. 10,100.11
2015. 11,99.92
2015. 12,100.22
2016. 01,100.39
2016. 02,100.82
2016. 03,100.56
2016. 04,100.75
2016. 05,100.81
2016. 06,100.79
2016. 07,100.6
2016. 08,100.86
2016. 09,101.46
2016. 10,101.6
2016. 11,101.45
2016. 12,101.56
2017. 01,102.64
2017. 02,102.92
2017. 03,102.85
2017. 04,102.72
2017. 05,102.83
2017. 06,102.61
2017. 07,102.78
2017. 08,103.37
2017. 09,103.49
2017. 10,103.39
2017. 11,102.62
2017. 12,102.99
2018. 01,103.42
2018. 02,104.21
2018. 03,104.1
2018. 04,104.29
2018. 05,104.34
2018. 06,104.13
2018. 07,103.93
2018. 08,104.85
2018. 09,105.65
2018. 10,105.46
2018. 11,104.71
2018. 12,104.35
